Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
27,Bachelor's,6,Telecom,Operations Analyst,Medium,Mid,62,21,81,Medium,2,14,33,21,Medium
51,Bachelor's,6,Education,Research Assistant,Small,Mid,12,90,20,Low,1,2,6,6,Low
24,Master's,3,Healthcare,Health Analyst,Medium,Mid,49,54,63,Medium,5,11,40,27,Low
53,Bachelor's,16,IT,ML Engineer,Large,Entry,78,31,40,Medium,2,14,43,7,High
47,Bachelor's,6,Logistics,Warehouse Manager,Medium,Mid,38,63,82,Low,2,2,27,8,Low
60,Bachelor's,5,Manufacturing,Quality Engineer,Medium,Mid,49,46,64,Low,1,5,26,4,Medium
21,Bachelor's,0,Telecom,Support Specialist,Small,Mid,22,76,21,Low,0,1,12,1,Medium
38,High School,6,IT,ML Engineer,Medium,Senior,80,26,85,Medium,5,11,50,10,Medium
37,Bachelor's,0,Retail,Sales Associate,Small,Mid,12,91,74,Low,0,4,10,0,Low
51,Bachelor's,0,Retail,Inventory Analyst,Medium,Mid,32,65,84,Medium,5,14,26,9,Medium
42,Master's,5,Logistics,Dispatcher,Medium,Entry,67,14,69,Medium,3,12,40,6,High
30,Bachelor's,8,Education,Research Assistant,Small,Senior,61,31,30,Low,1,0,28,1,Low
21,Bachelor's,0,Manufacturing,Production Supervisor,Large,Entry,64,16,90,Low,0,1,51,1,High
22,Master's,1,Healthcare,Medical Assistant,Large,Entry,30,74,66,Low,1,3,23,1,Low
23,Bachelor's,2,Finance,Financial Analyst,Small,Mid,42,51,68,Low,1,1,35,4,Medium
48,Bachelor's,1,Healthcare,Health Analyst,Medium,Entry,60,36,20,Medium,3,14,48,12,High
29,High School,4,Manufacturing,Operator,Medium,Senior,11,85,22,Low,2,1,7,5,Low
35,Bachelor's,7,Healthcare,Health Analyst,Large,Mid,93,20,53,High,5,17,56,27,High
28,Master's,7,Education,Research Assistant,Medium,Mid,86,0,91,Medium,3,10,63,15,Medium
31,High School,10,Finance,Accountant,Medium,Entry,44,56,86,Medium,3,13,43,15,Medium
43,Bachelor's,4,Education,Teacher,Large,Entry,86,0,71,Medium,3,9,80,7,High
36,Master's,7,Manufacturing,Quality Engineer,Large,Mid,84,0,92,Medium,5,7,65,20,High
47,Bachelor's,2,Education,Academic Coordinator,Medium,Entry,21,70,71,Low,2,5,13,8,Low
24,Bachelor's,3,Manufacturing,Operator,Small,Mid,52,44,88,Medium,4,14,48,17,Medium
57,PhD,3,Manufacturing,Quality Engineer,Medium,Senior,32,66,42,Low,2,2,31,9,Low
49,Master's,8,Finance,Financial Analyst,Small,Entry,62,45,77,Medium,5,11,36,16,Medium
26,Master's,5,IT,ML Engineer,Small,Entry,36,78,84,Low,1,0,20,4,Low
33,Master's,4,Finance,Financial Analyst,Large,Senior,58,42,33,Medium,5,8,40,22,Low
23,Bachelor's,2,Retail,Inventory Analyst,Medium,Entry,68,32,23,Medium,2,12,51,14,High
29,Master's,8,Finance,Auditor,Medium,Entry,75,15,78,Medium,3,10,59,7,High
36,Master's,15,Telecom,Operations Analyst,Medium,Entry,94,10,50,Medium,4,14,65,7,High
42,Master's,2,Manufacturing,Quality Engineer,Medium,Entry,39,64,25,Low,2,1,26,1,High
24,Master's,3,IT,Software Engineer,Medium,Entry,67,36,66,Medium,3,13,47,11,Medium
40,Bachelor's,6,Healthcare,Nurse,Medium,Mid,49,37,89,Low,1,3,39,9,Low
55,PhD,13,Education,Academic Coordinator,Small,Mid,41,55,85,Low,1,1,30,6,Low
49,High School,7,Logistics,Supply Chain Analyst,Small,Senior,33,53,30,Low,2,4,14,8,Low
48,Bachelor's,16,Education,Research Assistant,Small,Entry,48,58,51,Low,2,4,31,9,Low
34,Master's,0,Healthcare,Nurse,Medium,Mid,88,12,95,High,10,24,54,46,Medium
53,Bachelor's,10,Logistics,Warehouse Manager,Large,Entry,67,42,75,Medium,5,6,55,21,High
50,Master's,9,Healthcare,Medical Assistant,Medium,Mid,74,33,60,Medium,5,11,35,18,Medium
22,Bachelor's,1,IT,Software Engineer,Small,Mid,58,30,71,Medium,5,9,27,25,Medium
25,Bachelor's,4,Logistics,Warehouse Manager,Medium,Mid,47,45,46,Low,2,5,22,7,Medium
39,Bachelor's,4,Retail,Store Manager,Small,Entry,14,76,74,Low,1,4,11,6,Low
47,High School,11,Healthcare,Medical Assistant,Small,Mid,94,0,87,Medium,2,13,90,13,High
44,Master's,11,Finance,Accountant,Medium,Senior,36,62,86,Low,2,1,16,8,Low
47,Bachelor's,5,Telecom,Operations Analyst,Small,Mid,51,53,78,Low,2,4,26,7,Medium
36,Bachelor's,9,Telecom,Support Specialist,Large,Senior,19,80,27,Low,2,0,16,9,Low
35,Bachelor's,8,Telecom,Support Specialist,Large,Entry,12,91,92,Low,2,1,5,0,Low
39,High School,9,Telecom,Network Engineer,Small,Entry,49,55,49,Medium,2,11,27,13,Medium
37,Bachelor's,11,IT,ML Engineer,Small,Mid,10,77,70,Low,0,4,9,3,Low
36,Bachelor's,4,Retail,Inventory Analyst,Small,Entry,23,89,33,Low,1,1,20,2,Medium
40,Master's,6,Education,Teacher,Medium,Senior,57,58,80,Medium,3,14,47,29,Low
44,Bachelor's,12,Education,Research Assistant,Small,Mid,94,0,93,High,7,28,86,42,High
30,Bachelor's,9,Retail,Store Manager,Large,Entry,90,31,84,High,10,23,82,31,High
43,High School,12,IT,ML Engineer,Small,Entry,37,55,86,Low,0,5,23,2,Medium
43,PhD,13,Retail,Store Manager,Small,Entry,45,58,76,Low,2,3,29,7,Medium
45,PhD,14,Education,Academic Coordinator,Small,Mid,90,20,81,High,8,17,82,26,Medium
46,Bachelor's,6,Healthcare,Nurse,Small,Mid,89,0,85,High,5,28,78,62,High
25,PhD,4,Telecom,Operations Analyst,Large,Entry,45,47,30,Low,2,3,39,2,Medium
26,Bachelor's,5,Manufacturing,Production Supervisor,Medium,Senior,21,76,62,Low,2,4,14,5,Low
30,Bachelor's,9,Finance,Accountant,Small,Entry,28,92,51,Low,2,4,15,9,Low
41,High School,9,Manufacturing,Quality Engineer,Medium,Senior,28,66,31,Low,0,3,25,9,Low
43,Master's,14,Logistics,Dispatcher,Large,Entry,57,47,67,Medium,5,9,43,7,Medium
33,Bachelor's,3,Education,Academic Coordinator,Medium,Entry,40,45,87,Low,0,2,36,9,Medium
38,High School,0,Healthcare,Medical Assistant,Small,Entry,12,94,68,Low,0,5,6,8,Low
39,Master's,17,Logistics,Warehouse Manager,Large,Mid,54,51,46,Low,0,5,39,2,Medium
33,Master's,3,Retail,Store Manager,Small,Mid,66,40,78,Low,1,4,55,0,Medium
31,Bachelor's,4,Telecom,Network Engineer,Small,Entry,35,67,53,Low,1,1,32,3,Medium
34,Master's,8,Retail,Store Manager,Medium,Entry,53,37,78,Medium,5,12,36,26,Medium
41,Bachelor's,1,Healthcare,Nurse,Medium,Mid,80,27,95,Medium,3,13,71,19,High
46,Master's,12,IT,ML Engineer,Large,Senior,76,30,60,Medium,3,13,57,12,Medium
25,Master's,4,Healthcare,Nurse,Large,Senior,31,71,97,Medium,5,6,24,28,Low
26,Master's,4,Education,Research Assistant,Medium,Mid,90,2,20,Medium,5,10,80,12,High
57,Bachelor's,8,IT,Data Analyst,Medium,Entry,62,35,34,Medium,5,8,33,11,High
35,High School,7,Manufacturing,Operator,Medium,Entry,63,37,38,Medium,2,8,34,21,High
32,Master's,10,IT,ML Engineer,Medium,Entry,46,48,88,Low,2,5,30,9,Low
54,PhD,9,IT,ML Engineer,Small,Entry,52,46,67,Medium,4,9,35,17,Medium
42,Master's,7,Finance,Auditor,Medium,Senior,81,21,85,Medium,4,7,74,28,Medium
44,Master's,9,IT,Software Engineer,Small,Senior,63,53,33,Medium,2,9,56,8,Low
23,Bachelor's,2,Finance,Financial Analyst,Large,Mid,78,17,93,Medium,4,10,71,14,High
30,Master's,7,Logistics,Warehouse Manager,Medium,Mid,48,35,52,Low,0,0,33,9,Medium
36,Master's,13,Finance,Auditor,Medium,Entry,79,18,66,Medium,2,11,48,21,High
22,Master's,1,Manufacturing,Quality Engineer,Small,Entry,78,22,88,Medium,4,10,49,5,High
40,Bachelor's,5,Healthcare,Nurse,Large,Mid,83,21,97,Medium,2,5,67,13,High
52,Master's,7,IT,Data Analyst,Small,Entry,89,9,79,High,8,30,56,65,High
29,High School,8,Telecom,Operations Analyst,Medium,Mid,92,5,42,Medium,2,12,81,18,High
50,High School,7,Finance,Auditor,Medium,Entry,47,73,34,Low,2,4,26,5,Medium
53,Master's,7,Manufacturing,Operator,Small,Entry,53,38,55,Medium,2,12,50,28,High
36,Bachelor's,5,Healthcare,Medical Assistant,Medium,Mid,19,89,36,Low,1,1,9,1,Low
30,Master's,9,Finance,Auditor,Medium,Senior,83,18,37,Medium,5,7,59,27,Medium
46,Bachelor's,12,Finance,Financial Analyst,Medium,Entry,13,76,45,Low,2,4,9,7,Low
33,High School,12,Finance,Accountant,Medium,Entry,34,53,41,Low,1,5,23,9,Medium
59,High School,8,Logistics,Supply Chain Analyst,Small,Entry,82,17,29,Medium,4,9,46,9,High
52,Bachelor's,8,Retail,Sales Associate,Medium,Senior,62,18,50,Medium,5,5,47,15,Medium
43,High School,7,Retail,Sales Associate,Small,Entry,22,79,47,Medium,2,9,17,21,Medium
34,Master's,13,Telecom,Support Specialist,Small,Mid,35,57,38,Low,0,2,19,1,Low
46,High School,4,Healthcare,Nurse,Medium,Senior,32,60,98,Low,0,1,19,6,Low
52,Bachelor's,13,Logistics,Supply Chain Analyst,Large,Mid,83,19,85,Medium,5,5,56,14,High
33,Bachelor's,3,Logistics,Warehouse Manager,Large,Entry,36,60,40,Low,2,1,25,6,Medium
59,Bachelor's,9,Retail,Store Manager,Small,Entry,13,91,71,Low,1,0,7,2,Low
33,Bachelor's,3,IT,ML Engineer,Large,Entry,11,89,74,Low,0,0,9,7,Low
50,Bachelor's,0,Finance,Accountant,Large,Senior,83,21,93,Medium,5,9,74,17,High
40,PhD,5,Logistics,Supply Chain Analyst,Medium,Entry,56,37,71,Low,0,0,48,6,Medium
53,Bachelor's,7,Finance,Auditor,Small,Mid,64,38,61,Medium,4,8,60,28,High
29,Bachelor's,1,Finance,Auditor,Small,Mid,67,34,68,Medium,2,10,48,22,High
39,Bachelor's,0,Finance,Financial Analyst,Small,Mid,50,46,23,Low,2,1,45,4,High
45,High School,0,Retail,Sales Associate,Medium,Senior,47,51,69,Medium,5,8,38,27,Medium
34,High School,5,Manufacturing,Quality Engineer,Medium,Senior,78,25,78,Medium,5,10,35,27,Medium
45,Master's,4,Logistics,Supply Chain Analyst,Large,Entry,33,67,75,Low,1,2,22,6,Low
48,Bachelor's,9,Finance,Accountant,Large,Mid,82,21,60,Medium,4,10,65,11,High
47,High School,11,IT,Data Analyst,Small,Entry,77,30,71,Medium,5,12,49,26,High
37,Bachelor's,8,Education,Research Assistant,Medium,Senior,41,48,55,Low,2,1,35,8,Low
25,Bachelor's,4,Education,Academic Coordinator,Small,Entry,18,61,71,Low,2,4,11,4,Low
43,High School,5,Finance,Accountant,Medium,Mid,59,42,93,Medium,4,13,36,24,Medium
30,PhD,4,IT,Software Engineer,Medium,Mid,33,54,48,Low,0,2,31,2,Low
38,High School,15,Healthcare,Health Analyst,Medium,Mid,84,30,57,Medium,5,8,73,10,High
25,Master's,4,Healthcare,Medical Assistant,Small,Mid,82,20,65,Medium,5,11,60,28,Medium
56,High School,6,Education,Academic Coordinator,Large,Entry,56,34,34,Medium,4,6,33,8,Medium
38,Bachelor's,4,Manufacturing,Operator,Large,Entry,93,12,40,Medium,3,10,56,17,High
44,Master's,12,Finance,Financial Analyst,Small,Entry,89,1,31,High,8,23,73,58,High
28,Bachelor's,7,Education,Teacher,Medium,Mid,61,50,77,Medium,5,7,37,27,Low
25,High School,1,Finance,Financial Analyst,Large,Mid,44,64,37,Medium,4,13,32,26,Medium
47,High School,5,Telecom,Support Specialist,Small,Entry,30,70,63,Low,0,3,28,6,Medium
57,Bachelor's,3,Manufacturing,Quality Engineer,Medium,Mid,49,59,40,Medium,3,7,40,9,Medium
51,Master's,3,Logistics,Warehouse Manager,Medium,Mid,72,8,73,Medium,4,13,43,12,High
27,Master's,6,Healthcare,Nurse,Large,Entry,69,39,67,Medium,5,5,45,22,Medium
55,Master's,13,Healthcare,Health Analyst,Medium,Entry,23,74,47,Low,0,3,15,1,Low
57,PhD,13,IT,Software Engineer,Small,Mid,65,15,83,Low,1,5,57,9,Medium
36,PhD,1,Finance,Financial Analyst,Small,Mid,37,50,41,Low,2,2,17,6,Medium
52,Bachelor's,14,Logistics,Dispatcher,Medium,Mid,91,3,23,High,10,22,42,29,High
57,Master's,1,Logistics,Supply Chain Analyst,Large,Senior,78,13,40,Medium,3,12,51,22,High
26,Bachelor's,5,Telecom,Support Specialist,Large,Mid,68,34,55,Medium,5,10,61,15,High
42,High School,14,IT,ML Engineer,Large,Mid,27,87,93,Low,1,5,21,2,Low
53,Bachelor's,13,Healthcare,Medical Assistant,Small,Mid,75,9,71,Medium,2,12,37,17,Medium
40,Bachelor's,13,Logistics,Supply Chain Analyst,Small,Mid,39,32,74,Low,0,2,27,7,Medium
32,High School,4,Telecom,Support Specialist,Small,Mid,61,21,30,Low,0,3,46,3,High
52,Bachelor's,6,IT,Software Engineer,Medium,Entry,87,23,57,Medium,4,7,83,12,High
46,Master's,0,Manufacturing,Operator,Medium,Entry,51,63,27,Medium,2,5,30,29,High
49,Bachelor's,14,Education,Teacher,Medium,Entry,93,24,99,High,9,15,67,24,High
38,Bachelor's,0,Retail,Inventory Analyst,Small,Entry,40,47,77,Low,0,1,26,5,High
48,High School,7,Education,Research Assistant,Large,Senior,66,24,41,Medium,4,7,38,8,Medium
22,Bachelor's,1,Finance,Financial Analyst,Medium,Mid,42,52,84,Medium,4,5,26,6,Medium
43,Bachelor's,5,Retail,Sales Associate,Large,Mid,14,89,25,Low,0,0,9,4,Low
27,Master's,6,Education,Research Assistant,Small,Mid,69,17,80,Medium,4,8,34,19,Low
35,Master's,9,Telecom,Network Engineer,Large,Mid,42,49,53,Low,2,4,29,6,Low
34,Master's,8,IT,Software Engineer,Large,Mid,79,10,21,Medium,5,11,55,20,High
53,Master's,14,Healthcare,Health Analyst,Medium,Entry,85,0,59,Medium,4,8,52,23,High
56,Bachelor's,7,Logistics,Warehouse Manager,Medium,Mid,45,51,46,Low,1,2,44,9,Medium
39,Bachelor's,14,Healthcare,Nurse,Small,Entry,15,73,72,Low,1,5,13,2,Low
27,Master's,6,Logistics,Warehouse Manager,Small,Mid,51,48,85,Low,1,2,29,7,Medium
57,Master's,9,Retail,Sales Associate,Medium,Senior,41,52,66,Low,1,2,24,3,Low
30,PhD,8,Manufacturing,Production Supervisor,Medium,Entry,69,42,46,High,7,27,58,78,High
41,Master's,13,Retail,Inventory Analyst,Medium,Entry,33,61,82,Medium,3,7,21,17,Low
38,Master's,10,Telecom,Support Specialist,Medium,Entry,72,33,23,Medium,2,7,63,9,High
44,Bachelor's,9,Retail,Store Manager,Large,Mid,41,67,88,Low,2,0,26,2,Medium
32,Bachelor's,10,Logistics,Warehouse Manager,Small,Entry,51,44,41,Low,2,1,36,9,High
33,Bachelor's,4,Logistics,Supply Chain Analyst,Small,Mid,12,79,72,Low,0,5,5,7,Low
36,Bachelor's,13,Logistics,Warehouse Manager,Medium,Mid,61,50,55,Medium,2,7,41,10,Medium
41,Bachelor's,12,Education,Teacher,Medium,Mid,42,54,77,Low,1,3,38,6,Low
47,Bachelor's,16,Logistics,Dispatcher,Medium,Mid,64,24,34,Medium,5,9,47,13,High
42,Bachelor's,6,IT,Software Engineer,Large,Entry,70,39,74,Medium,4,5,44,11,High
59,Master's,7,Telecom,Support Specialist,Small,Mid,38,72,89,Low,2,5,21,1,Low
42,PhD,9,IT,ML Engineer,Large,Entry,36,69,29,Low,1,0,34,9,Low
37,Bachelor's,16,IT,Software Engineer,Large,Mid,45,50,65,Low,0,0,27,4,Low
49,Master's,10,Manufacturing,Operator,Small,Entry,67,21,35,Low,1,2,63,4,High
47,Bachelor's,14,Retail,Inventory Analyst,Small,Senior,92,4,41,High,7,20,83,66,High
30,High School,9,Logistics,Warehouse Manager,Large,Entry,14,100,78,Low,2,5,6,7,Low
24,Bachelor's,3,Education,Teacher,Small,Entry,10,100,95,Low,2,3,9,1,Low
59,Bachelor's,15,Retail,Sales Associate,Small,Entry,78,5,94,Medium,5,7,36,9,High
27,Bachelor's,6,Education,Research Assistant,Small,Mid,93,1,65,High,9,30,72,58,High
45,PhD,11,Logistics,Dispatcher,Medium,Entry,71,18,58,Medium,3,13,64,7,High
52,Bachelor's,10,Education,Research Assistant,Medium,Entry,94,6,60,Medium,5,6,70,23,High
26,Master's,5,Logistics,Supply Chain Analyst,Large,Senior,28,76,67,Low,0,2,14,2,Low
40,Bachelor's,17,Finance,Auditor,Medium,Senior,88,29,46,High,8,29,41,72,Medium
33,Bachelor's,12,Retail,Store Manager,Small,Senior,61,39,91,Medium,3,8,36,20,Low
36,High School,10,Education,Academic Coordinator,Small,Mid,27,82,36,Low,0,2,18,4,Low
23,Bachelor's,2,Manufacturing,Operator,Medium,Mid,45,49,61,Medium,4,12,43,19,High
33,Bachelor's,9,Education,Research Assistant,Medium,Mid,12,86,35,Low,2,1,6,0,Low
53,Bachelor's,5,Finance,Accountant,Medium,Senior,14,100,29,Low,1,0,7,1,Low
56,Bachelor's,13,Healthcare,Medical Assistant,Large,Mid,86,11,44,High,5,20,43,26,High
50,Bachelor's,11,Healthcare,Health Analyst,Small,Entry,77,28,83,Medium,5,10,56,12,High
40,Master's,14,Telecom,Network Engineer,Medium,Entry,10,84,26,Low,2,1,9,3,Low
58,Bachelor's,5,Manufacturing,Operator,Medium,Entry,84,15,48,Medium,2,7,80,20,High
49,Bachelor's,0,Retail,Store Manager,Small,Senior,40,69,65,Low,1,3,39,1,Medium
57,Bachelor's,3,Finance,Financial Analyst,Medium,Entry,14,72,89,Low,2,5,11,9,Low
59,Master's,18,Retail,Sales Associate,Large,Entry,59,52,88,Medium,5,11,28,22,Medium
49,Master's,12,Retail,Inventory Analyst,Small,Mid,86,0,46,High,10,27,46,79,High
41,Master's,9,Education,Teacher,Large,Mid,74,33,68,Medium,2,13,53,5,Medium
50,Bachelor's,8,Telecom,Network Engineer,Medium,Entry,72,38,38,Medium,3,10,42,19,High
57,Bachelor's,9,Finance,Financial Analyst,Medium,Entry,26,65,30,Low,0,5,25,6,Medium
60,Master's,6,Logistics,Dispatcher,Small,Entry,88,0,50,Medium,2,9,67,11,High
37,Bachelor's,11,Healthcare,Medical Assistant,Large,Mid,61,29,94,Medium,5,10,52,21,Medium
59,Master's,5,IT,ML Engineer,Large,Senior,70,33,83,Medium,4,13,46,13,Low
56,Bachelor's,9,IT,ML Engineer,Medium,Senior,15,84,63,Low,1,0,7,1,Low
51,Master's,12,Telecom,Operations Analyst,Large,Entry,10,79,69,Low,1,2,6,7,Low
46,High School,15,Logistics,Dispatcher,Medium,Mid,90,16,89,Medium,4,5,78,29,High
44,Bachelor's,4,Healthcare,Health Analyst,Large,Senior,78,16,54,Medium,3,6,71,29,Medium
40,Bachelor's,8,Healthcare,Health Analyst,Small,Senior,89,15,54,Medium,4,12,42,6,Medium
39,PhD,2,Healthcare,Nurse,Medium,Entry,85,37,66,Medium,5,11,78,9,High
47,Bachelor's,11,Telecom,Operations Analyst,Large,Mid,49,77,46,Low,0,4,41,2,Medium
32,Bachelor's,7,Education,Research Assistant,Small,Mid,15,79,41,Low,1,4,9,1,Low
51,High School,4,Telecom,Support Specialist,Small,Entry,46,49,24,Low,0,4,37,6,High
35,Bachelor's,3,Retail,Sales Associate,Small,Entry,55,39,87,Low,2,1,54,1,High
30,Bachelor's,5,Telecom,Support Specialist,Large,Entry,77,26,37,Medium,5,11,70,10,High
27,Bachelor's,2,Manufacturing,Quality Engineer,Medium,Entry,52,52,72,Medium,4,6,51,29,High
33,Bachelor's,7,Healthcare,Nurse,Large,Senior,71,27,88,Medium,4,9,38,21,Low
41,Master's,8,Telecom,Operations Analyst,Large,Entry,65,30,79,Medium,4,14,48,7,Medium
25,High School,4,Manufacturing,Operator,Medium,Mid,22,78,40,Low,2,0,11,6,Medium
46,Master's,0,Education,Research Assistant,Small,Mid,52,54,77,Medium,4,9,29,20,Low
32,Master's,5,Retail,Store Manager,Small,Mid,91,6,77,Medium,4,13,67,13,High
28,Bachelor's,7,Retail,Inventory Analyst,Medium,Mid,36,37,75,Low,0,5,26,1,Medium
51,Bachelor's,15,Manufacturing,Operator,Medium,Mid,53,55,48,Low,1,5,40,8,Medium
22,Bachelor's,1,Education,Research Assistant,Small,Entry,81,17,32,Medium,5,13,41,20,High
52,Master's,6,Healthcare,Health Analyst,Small,Mid,56,50,40,Medium,2,13,44,24,Low
57,PhD,12,Healthcare,Health Analyst,Large,Mid,74,12,24,Medium,2,13,39,9,Medium
57,Bachelor's,5,Education,Research Assistant,Medium,Mid,31,72,33,Low,1,4,28,9,Low
50,Bachelor's,14,Finance,Financial Analyst,Small,Mid,11,95,53,Low,1,3,7,1,Low
41,Bachelor's,11,Logistics,Dispatcher,Large,Entry,91,0,49,High,10,15,70,53,High
42,Bachelor's,18,Telecom,Operations Analyst,Large,Mid,31,71,64,Low,2,3,22,0,Low
25,Bachelor's,4,Manufacturing,Quality Engineer,Medium,Mid,75,16,64,Medium,4,14,45,6,High
21,High School,0,IT,ML Engineer,Medium,Entry,79,29,69,Medium,2,7,37,27,High
30,Bachelor's,9,Finance,Accountant,Small,Entry,18,88,48,Low,2,5,13,1,Low
39,Bachelor's,13,Telecom,Network Engineer,Medium,Mid,65,38,39,Medium,4,13,53,25,High
36,Master's,13,IT,ML Engineer,Large,Mid,18,85,30,Low,1,1,16,7,Low
57,Bachelor's,0,IT,Software Engineer,Medium,Entry,21,96,61,Low,1,4,17,1,Low
25,Bachelor's,4,Manufacturing,Production Supervisor,Medium,Mid,71,45,71,Medium,4,13,48,11,High
22,Bachelor's,1,Manufacturing,Operator,Medium,Entry,60,27,39,Medium,5,5,52,26,High
44,Bachelor's,15,Manufacturing,Production Supervisor,Small,Mid,40,71,57,Medium,4,13,33,28,Medium
57,Bachelor's,14,IT,ML Engineer,Large,Mid,13,74,58,Low,1,0,6,6,Low
38,Bachelor's,4,Manufacturing,Production Supervisor,Large,Mid,87,7,36,High,6,30,51,27,High
49,Bachelor's,9,IT,Data Analyst,Large,Mid,54,31,22,Low,2,5,29,2,Medium
60,Master's,0,Logistics,Supply Chain Analyst,Medium,Mid,81,11,52,High,8,16,38,68,High
52,High School,6,Retail,Inventory Analyst,Small,Entry,31,70,40,Low,1,2,20,0,Medium
56,Bachelor's,9,Telecom,Network Engineer,Large,Mid,33,62,24,Low,0,0,15,1,Low
21,Bachelor's,0,Manufacturing,Operator,Small,Mid,79,29,63,Medium,3,13,75,13,High
38,Bachelor's,0,IT,Data Analyst,Medium,Mid,88,4,54,Medium,4,12,69,27,High
51,High School,12,Telecom,Support Specialist,Medium,Entry,31,74,57,Low,0,1,17,5,Medium
26,Bachelor's,5,Education,Research Assistant,Medium,Senior,73,13,50,Medium,3,12,58,15,Medium
40,Master's,8,IT,Software Engineer,Small,Mid,79,20,54,Medium,5,12,69,29,High
30,Bachelor's,8,Manufacturing,Production Supervisor,Medium,Entry,87,4,43,High,10,21,85,47,High
24,Bachelor's,3,Logistics,Supply Chain Analyst,Large,Senior,64,45,30,Low,2,0,52,2,Medium
43,High School,8,Education,Research Assistant,Medium,Entry,44,68,22,Medium,4,8,38,20,Medium
29,Master's,8,Retail,Inventory Analyst,Small,Entry,10,100,92,Low,1,3,7,4,Low
22,PhD,1,Retail,Sales Associate,Medium,Senior,57,47,36,Medium,5,6,50,11,Medium
57,Bachelor's,6,Logistics,Supply Chain Analyst,Medium,Entry,47,49,44,Low,1,2,42,4,High
56,High School,11,Finance,Accountant,Large,Entry,50,47,61,Low,1,5,47,5,High
30,Master's,9,Healthcare,Health Analyst,Small,Mid,29,66,45,Low,0,1,24,9,Low
51,Bachelor's,6,Finance,Financial Analyst,Small,Mid,25,95,50,Low,1,5,22,3,Low
57,High School,10,IT,Data Analyst,Medium,Mid,35,81,36,Low,0,1,31,5,Medium
46,Bachelor's,14,Manufacturing,Operator,Medium,Entry,38,78,64,Low,2,4,36,8,Medium
44,Bachelor's,14,Manufacturing,Production Supervisor,Large,Entry,50,43,64,Medium,2,11,41,6,High
54,Bachelor's,13,Healthcare,Health Analyst,Medium,Senior,37,45,54,Low,0,4,27,2,Low
37,High School,9,Manufacturing,Production Supervisor,Large,Mid,88,5,31,Medium,4,8,46,19,High
29,Bachelor's,8,Education,Academic Coordinator,Small,Entry,37,63,59,Low,1,3,28,7,Low
56,Master's,6,Healthcare,Nurse,Small,Entry,13,79,99,Low,0,4,6,7,Low
37,Master's,0,Healthcare,Medical Assistant,Large,Mid,93,5,25,High,8,24,58,43,High
54,Bachelor's,6,IT,ML Engineer,Medium,Entry,60,52,37,Low,0,2,48,5,High
38,Bachelor's,4,Manufacturing,Quality Engineer,Medium,Mid,65,42,60,Medium,3,13,57,22,High
26,High School,5,Education,Teacher,Small,Mid,84,20,75,Medium,2,7,77,25,High
55,Bachelor's,0,Education,Research Assistant,Large,Mid,38,66,31,Low,2,5,31,9,Medium
57,High School,5,Retail,Store Manager,Large,Mid,25,73,89,Low,1,5,23,7,Low
49,Master's,10,Finance,Auditor,Large,Mid,74,30,20,Medium,3,8,36,23,Medium
23,Bachelor's,2,Healthcare,Medical Assistant,Small,Senior,34,51,48,Low,2,4,30,8,Low
50,Bachelor's,0,Telecom,Network Engineer,Small,Entry,85,9,90,High,9,17,59,72,High
21,Bachelor's,0,Education,Teacher,Small,Mid,39,67,90,Low,1,2,29,1,Low
30,Bachelor's,6,Retail,Inventory Analyst,Medium,Entry,61,46,39,Medium,5,7,30,14,High
41,High School,9,Education,Academic Coordinator,Small,Mid,78,37,93,Medium,3,5,38,15,Medium
58,Master's,0,Education,Academic Coordinator,Medium,Entry,66,28,39,Medium,2,12,47,6,High
30,Bachelor's,9,Retail,Inventory Analyst,Small,Entry,61,37,67,Medium,3,5,41,20,High
53,Bachelor's,14,Logistics,Dispatcher,Medium,Mid,15,77,83,Low,0,5,8,0,Low
33,Bachelor's,5,IT,Software Engineer,Medium,Mid,66,11,53,Medium,3,5,46,14,High
37,Bachelor's,11,Education,Academic Coordinator,Large,Mid,23,78,39,Low,0,2,19,9,Low
41,Bachelor's,16,Retail,Inventory Analyst,Medium,Entry,20,86,88,Low,1,5,11,5,Low
60,Bachelor's,10,Retail,Store Manager,Medium,Entry,69,20,65,Medium,2,5,51,6,High
45,High School,8,Education,Academic Coordinator,Medium,Entry,35,56,59,Low,2,2,19,7,Medium
26,Bachelor's,5,Finance,Financial Analyst,Medium,Entry,51,52,61,Low,2,4,47,4,High
57,Bachelor's,13,Manufacturing,Operator,Medium,Mid,20,82,81,Low,1,4,10,9,Low
29,High School,6,Manufacturing,Production Supervisor,Medium,Entry,72,27,88,Low,0,1,51,7,High
45,PhD,8,Education,Research Assistant,Small,Mid,54,58,93,Medium,2,8,27,11,Low
31,Bachelor's,10,Logistics,Warehouse Manager,Medium,Entry,55,21,45,Medium,4,7,28,14,High
55,Master's,16,IT,Data Analyst,Medium,Entry,87,22,46,Medium,3,9,54,8,High
34,Bachelor's,9,Retail,Sales Associate,Large,Senior,82,20,20,High,5,17,43,41,High
31,PhD,10,Finance,Accountant,Medium,Entry,35,56,24,Low,0,2,17,9,Medium
